name,phone_number,address,registration_date,email,inn,deposit_amount,opening_date,closing_date,interest_rate
Company A1,1234567890,Address A,2024-01-10,companya@example.com,123456789,10000.00,2024-01-15,2024-12-31,0.03
Company B,2345678901,Address B,2024-02-20,companyb@example.com,234567890,20000.00,2024-02-25,2024-12-31,0.035
Company C1,3456789012,Address C33,2024-03-30,companyc@example.com,345678901,30000.00,2024-03-05,2024-12-31,0.04
Company D,4567890123,Address D,2024-04-10,companyd@example.com,456789012,40000.00,2024-04-15,2024-12-31,0.045
Company E,5678901234,Address E,2024-05-20,companye@example.com,567890123,50000.00,2024-05-25,2024-12-31,0.05
Company F,6789012345,Address F,2024-06-30,companyf@example.com,678901234,60000.00,2024-06-05,2024-12-31,0.055
Company G,7890123456,Address G,2024-07-10,companyg@example.com,789012345,70000.00,2024-07-15,2024-12-31,0.06
Company H,8901234567,Address H,2024-08-20,companyh@example.com,890123456,80000.00,2024-08-25,2024-12-31,0.065
Company I,9012345678,Address I,2024-09-30,companyi@example.com,901234567,90000.00,2024-09-05,2024-12-31,0.07
Company J,0123456789,Address J,2024-10-10,companyj@example.com,1234567890,100000.00,2024-10-15,2024-12-31,0.075
Company Maximus77,0123456789,Address J,2024-10-10,companyj@example.com,1234567890,100000.00,2024-10-15,2024-12-31,0.075
Company Maximus1234,0123456789,Address J,2024-10-10,companyj@example.com,1234567890,100000.00,2024-10-15,2024-12-31,0.075
Company F,6789012345,Address F,2024-06-30,companyf@example.com,678901234,60000.00,2024-06-05,2024-12-31,0.055
Company G,7890123456,Address G,2024-07-10,companyg@example.com,789012345,70000.00,2024-07-15,2024-12-31,0.06
Company H,8901234567,Address H,2024-08-20,companyh@example.com,890123456,80000.00,2024-08-25,2024-12-31,0.065
Company D,4567890123,Address D,2024-04-10,companyd@example.com,456789012,40000.00,2024-04-15,2024-12-31,0.045
Company E,5678901234,Address E,2024-05-20,companye@example.com,567890123,50000.00,2024-05-25,2024-12-31,0.05
Company F,6789012345,Address F,2024-06-30,companyf@example.com,678901234,60000.00,2024-06-05,2024-12-31,0.055
Company G5,7890123456,Address G,2024-07-10,companyg@example.com,789012345,70000.00,2024-07-15,2024-12-31,0.06
Company G7,7890123456,Address G,2024-07-10,companyg@example.com,789012345,70000.00,2024-07-15,2024-12-31,0.06
Company 2222w,7890123456,Address G,2024-07-10,companyg@example.com,789012345,170000.00,2024-07-15,2024-12-31,0.16
Company exampl,7890123456,Address G,2024-07-10,companyg@example.com,789012345,270000.00,2024-07-15,2024-12-31,0.11
Company Apple,7890123456,Address G,2024-07-10,companyg@example.com,789012345,155000.00,2024-07-15,2025-12-31,0.11
Example2,7890123456,Address G,2024-07-10,companyg@example.com,789012345,50000.00,2024-07-15,2024-12-31,0.06
